Year,model,Configuration,Transmission,mpg,Displacement
2019,Chevrolet,Express Cargo,Automatic,,6600
2019,Chevrolet,Express Cargo,Automatic,,4800
2019,Chevrolet,Express Cargo,Automatic,,6600
2019,Chevrolet,Express Cargo,Automatic,,4800
2019,Chevrolet,Express Cargo,Automatic,,6600
2019,Chevrolet,Express Cargo,Automatic,,4800
2019,Chevrolet,Express Cargo,Automatic,,6600
2019,Chevrolet,Impala,Automatic,31.0,2500
2019,Chevrolet,Impala,Automatic,31.0,2500
2019,Chevrolet,Impala,Automatic,29.0,3600
2019,Chevrolet,Impala,Automatic,,3600
2019,Chevrolet,Impala,Automatic,31.0,2500
2019,Chevrolet,Impala,Automatic,29.0,3600
2019,Chevrolet,Malibu,Automatic,36.0,2500
2019,Chevrolet,Malibu,Automatic,36.0,2500
2019,Chevrolet,Malibu,Automatic,36.0,2500
2019,Chevrolet,Malibu,Automatic,30.0,2000
2019,Chevrolet,Malibu,Automatic,36.0,2500
2019,Chevrolet,Malibu,Automatic,30.0,2000
2019,Chevrolet,Silverado 1500,Automatic,22.0,5300
2019,Chevrolet,Silverado 1500,Automatic,22.0,5300
2019,Chevrolet,Silverado 1500,Automatic,23.0,5300
2019,Chevrolet,Silverado 1500,Automatic,23.0,5300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,5300
2019,Chevrolet,Silverado 1500,Automatic,22.0,5300
2019,Chevrolet,Silverado 1500,Automatic,23.0,5300
2019,Chevrolet,Silverado 1500,Automatic,23.0,5300
2019,Chevrolet,Silverado 1500,Automatic,22.0,5300
2019,Chevrolet,Silverado 1500,Automatic,23.0,5300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,22.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
2019,Chevrolet,Silverado 1500,Automatic,24.0,4300
