brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
Ford,Transit Connect,2015,"$16,900.00 ",White,XLT*SLIDING DOORS*BTOOTH*PRICED TO SELL!!*,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"133,000",https://www.carproof.com/order?ref=kijiji&vin=NM0LS7F75F1225907,"2353 Weston Road, Toronto, ON, M9N 1Z8"
Toyota,RAV4,2016,"$25,995.00 ",Silver,SE Navigation Leather 18 Alloys,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"78,589",https://reports.carproof.com/en/main?id=RcRkRH1ls9W1PvoY3Je4 Ao6DVslmPzx&utm_ref=kijiji,"1077 Leslie Street, Toronto, ON, M3C 2J7"
Dodge,Grand Caravan,2010,"$6,498.00 ",Blue,"SE,STOW&GO,DVD,BACK UP CAMERA",Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,na,"191,000",https://www.carproof.com/order?ref=kijiji&vin=2D4RN4DE0AR312304,"4450 Corporate Drive #5, Burlington, ON, L7L 5R3"
Toyota,Yaris,2008,"$2,999.00 ",Blue,LE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"252,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1B 2W1"
Chevrolet,Silverado 1500,2009,"$9,600.00 ",Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"190,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M2J4A8"
Chevrolet,Malibu,2017,"$12,999.00 ",Brown,LT-LEATHER-CAMERA-BLUETOOTH-HEATED SEATS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"122,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST2HF218763,"301 Weston Road, Toronto, ON, M6N3P1"
Lexus,RX,2017,"$44,800.00 ",Other,"350, NAVI, CAM, HEAT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"67,913",https://www.carproof.com/order?ref=kijiji&vin=2T2BZMCA6HC056337,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Fiat,500,2012,"$9,800.00 ",Other,"500c CONVERTIBLE, AU",Used,Convertible,Front-wheel drive (FWD),Automatic,na,"37,671",https://www.carproof.com/order?ref=kijiji&vin=3C3CFFER8CT377533,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,CR-V,2019,"$38,758.00 ",Black,EX-L,New,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Malibu,2017,"$19,999.00 ",Grey,LT-NAVIGATION-PANO ROOF-LEATHER-ONLY 44KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"44,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST3HF197275,"301 Weston Road, Toronto, ON, M6N3P1"
Mercedes-Benz,Other,2011,"$26,900.00 ",White,"114K ONLY !! 2500 144"", H-ROOF, CLEAN TITLE, 3.0L",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"114,465",https://www.carproof.com/order?ref=kijiji&vin=null,"1897 Wilson Avenue, North York, ON, M9M 1A2"
Honda,Civic,2019,"$28,018.00 ",Grey,Sport,New,Sedan,Front-wheel drive (FWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Dodge,Grand Caravan,2014,"$12,900.00 ",Silver,SXT*PWR GRP*STOW N GO*BTOOTH*AUX*,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"139,000",https://www.carproof.com/order?ref=kijiji&vin=2C4RDGBG5ER182886,"2353 Weston Road, Toronto, ON, M9N 1Z8"
Ford,F-150,2017,"$37,490.00 ",Grey,XLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"65,235",https://www.carproof.com/order?ref=kijiji&vin=1FTEW1EF3HFC40613,"607 Niagara Street, Welland, ON, L3C 1L9"
Toyota,Camry,2013,"$12,988.00 ",Grey,| SUNROOF |ALLOY'S |BACK UP CAMERA|,Used,Sedan,Other,Automatic,Gasoline,"74,517",https://www.carproof.com/order?ref=kijiji&vin=null,"1882 Lawrence Avenue East, Scarborough, ON, M1R 2Y5"
Ford,Escape,2014,"$12,999.00 ",Black,"SE MODEL, 1.6 ECOBOOST, FWD, REARVIEW CAMERA",Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"94,672",https://www.carproof.com/order?ref=kijiji&vin=1FMCU0GX3EUD03449,"3675 Keele Street, Toronto, ON, M3J 1M6"
Subaru,Impreza,2008,"$3,995.00 ",na,na,Used,Other,All-wheel drive (AWD),Automatic,na,"198,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M3J 3K2"
Toyota,Yaris,2008,"$2,999.00 ",Blue,LE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"252,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1B 2W1"
