make,mileage,model,price,vin,year
Mercedes-Benz,"41,234 Miles",E-Class,"$25,999",WDDHF5KB2GB214487,2016
Volkswagen,"24,107 Miles",Eos,"$17,200",WVWBW8AHXDV006486,2013
Dodge,"46,470 Miles",Grand Caravan,"$16,500",2C4RDGBG6HR743276,2017
Kia,"33,359 Miles",Cadenza,"$18,400",KNALN4D74F5194750,2015
Ford,"73,565 Miles",Fusion Hybrid,"$13,500",3FA6P0LU1GR218713,2016
Chevrolet,"16,251 Miles",Silverado 1500,"$33,930",1GCVKSEC8GZ154024,2016
Kia,"37,424 Miles",Sorento,"$18,999",5XYPHDA50GG104369,2016
Hyundai,"35,203 Miles",Sonata,"$17,600",5NPE34AF9GH326707,2016
Ford,"34,028 Miles",Fusion,"$16,600",3FA6P0H9XHR142902,2017
Hyundai,"24,286 Miles",Santa Fe Sport,"$15,799",5XYZUDLB5GG325845,2016
Cadillac,"48,383 Miles",XTS,"$22,300",2G61M5S35H9174535,2017
Lexus,"35,165 Miles",RX 350,"$23,999",2T2ZK1BA4FC197651,2015
Mercedes-Benz,"33,300 Miles",CLA,"$24,400",WDDSJ4EB0HN485705,2017
Mercedes-Benz,"37,428 Miles",GLS,"$66,000",4JGDF7DE0HA777312,2017
Chevrolet,"28,799 Miles",Cruze,"$14,100",1G1BE5SM1H7239785,2017
Nissan,"37,389 Miles",Versa,"$11,800",3N1CN7APXHL882248,2017
Hyundai,"37,226 Miles",Santa Fe Sport,"$13,999",5XYZT3LB2GG364311,2016
Maserati,"11,025 Miles",Ghibli,"$49,999",ZAM57XSA2J1277059,2018
Nissan,"45,212 Miles",Versa Note,"$11,100",3N1CE2CP0GL409862,2016
Ford,"17,509 Miles",Fusion,"$15,500",3FA6P0H75GR349341,2016
Buick,"41,065 Miles",Encore,"$14,900",KL4CJBSB4FB265130,2015
Tesla,"29,621 Miles",Model S,"$44,999",5YJSA1H15FF087459,2015
Chevrolet,"9,627 Miles",Sonic,"$14,500",1G1JD6SH9H4174449,2017
Ford,"14,484 Miles",Fusion,"$18,500",3FA6P0HD2JR152155,2018
Kia,"19,474 Miles",Optima,"$18,500",5XXGU4L3XGG105864,2016
Lexus,"59,144 Miles",ES 300h,"$22,700",JTHBW1GG8F2098108,2015
Nissan,"44,369 Miles",Rogue,"$17,200",KNMAT2MV7HP581111,2017
Nissan,"35,611 Miles",Altima,"$14,300",1N4AL3AP3GC212463,2016
Toyota,"45,430 Miles",Corolla,"$13,455",2T1BURHE6HC904681,2017
Kia,"40,823 Miles",Sportage,"$13,999",KNDPMCAC5H7040834,2017
Kia,"11,083 Miles",Sorento,"$22,855",5XYPG4A53KG468006,2019
Scion,"51,240 Miles",tC,"$11,900",JTKJF5C77D3046284,2013
Hyundai,"21,849 Miles",Santa Fe Sport,"$18,500",5XYZU3LBXGG309988,2016
Ford,"41,546 Miles",Focus,"$9,855",1FADP3F25HL267349,2017
Chevrolet,"35,213 Miles",Colorado,"$24,500",1GCGSCE33G1356301,2016
Dodge,"48,651 Miles",Grand Caravan,"$15,900",2C4RDGCG6HR806116,2017
Dodge,"10,538 Miles",Challenger,"$26,900",2C3CDZAT5FH747746,2015
Lincoln,"60,894 Miles",MKX,"$18,800",2LMDJ8JK5DBL03633,2013
Ford,"27,196 Miles",Flex,"$22,300",2FMGK5C87FBA17873,2015
Lexus,"29,805 Miles",IS 250,"$19,199",JTHCF1D25F5027170,2015
Hyundai,"48,456 Miles",Elantra,"$12,400",5NPD74LF5HH149605,2017
Hyundai,"42,967 Miles",Accent,"$11,400",KMHCT4AE0HU191909,2017
Infiniti,"33,044 Miles",Q50,"$20,500",JN1BV7AP5FM342353,2015
Hyundai,"41,210 Miles",Accent,"$9,275",KMHCT4AE7HU208866,2017
Toyota,"29,155 Miles",Prius c,"$16,200",JTDKDTB38F1112280,2015
BMW,"21,963 Miles",4 Series,"$25,199",WBA3V5C55FP753779,2015
Volkswagen,"22,850 Miles",Jetta,"$12,700",3VWLL7AJ9EM312887,2014
Volkswagen,"13,541 Miles",Tiguan,"$17,700",WVGAV7AX6HK055090,2017
Volkswagen,"20,096 Miles",Tiguan,"$18,100",WVGAV7AX5GW538674,2016
Acura,"45,814 Miles",TSX,"$16,100",JH4CU2F43CC029999,2012
Toyota,"34,039 Miles",Camry,"$15,700",4T4BF1FKXGR536528,2016
Ford,"26,038 Miles",Explorer,"$25,399",1FM5K8GT1FGC56111,2015
Ford,"40,062 Miles",Focus,"$11,700",1FADP3FE1FL285760,2015
Toyota,"40,607 Miles",Avalon,"$17,800",4T1BK1EB3EU091313,2014
Ford,"80,388 Miles",Flex,"$16,400",2FMHK6DT5CBD00877,2012
Nissan,"9,962 Miles",370Z,"$26,000",JN1AZ4EH5HM952306,2017
Nissan,"41,532 Miles",Altima,"$15,000",1N4AL3APXHC151906,2017
Mazda,"40,172 Miles",CX-9,"$19,999",JM3TB3DA0F0464434,2015
Toyota,"34,927 Miles",RAV4,"$22,600",2T3NFREV1GW284967,2016
Nissan,"46,171 Miles",Rogue,"$15,300",KNMAT2MT6HP553685,2017
Mazda,"39,849 Miles",CX-5,"$18,300",JM3KE2DY8E0425485,2014
Hyundai,"29,445 Miles",Sonata,"$14,800",5NPE24AF6GH326148,2016
Acura,"38,213 Miles",ILX,"$17,700",19UDE2F39GA018843,2016
Volvo,"22,570 Miles",S60,"$21,700",YV126MFL1H2423194,2017
Toyota,"45,349 Miles",Sienna,"$25,680",5TDYZ3DC5HS826446,2017
Honda,"27,289 Miles",CR-V,"$17,800",2HKRM3H31FH559774,2015
Mercedes-Benz,"36,547 Miles",CLA,"$18,999",WDDSJ4EBXFN246322,2015
Nissan,"50,339 Miles",Murano,"$20,700",5N1AZ2MH9HN152410,2017
Audi,"20,600 Miles",Q7,"$31,700",WA1LMAFE5ED006851,2014
Chevrolet,"6,740 Miles",Camaro,"$22,500",1G1FB1RSXH0104031,2017
Hyundai,"45,951 Miles",Accent,"$9,175",KMHCT4AE2HU372218,2017
Toyota,"46,154 Miles",Camry,"$15,935",4T1BF1FK5HU390552,2017
Mercedes-Benz,"37,601 Miles",C-Class,"$19,300",WDDGJ4HB6EG279645,2014
Infiniti,"42,109 Miles",QX80,"$33,999",JN8AZ2NFXF9573113,2015
Dodge,"45,590 Miles",Journey,"$18,800",3C4PDDGGXHT583270,2017
Infiniti,"29,143 Miles",Q50,"$24,200",JN1BV7AP0FM354765,2015
Ford,"36,460 Miles",Explorer,"$25,600",1FM5K8D83HGA09286,2017
Hyundai,"18,691 Miles",Tucson,"$16,399",KM8J3CA41GU021646,2016
Honda,"41,186 Miles",Accord,"$17,999",1HGCT2B94GA001573,2016
Dodge,"29,876 Miles",Journey,"$15,999",3C4PDCDG3FT699275,2015
Lexus,"20,226 Miles",LS 460,"$39,399",JTHBL5EF4G5142535,2016
Honda,"15,963 Miles",Accord,"$22,300",1HGCR2F58HA216526,2017
GMC,"45,886 Miles",Canyon,"$24,799",1GTG6CENXH1155647,2017
Hyundai,"36,116 Miles",Accent,"$11,800",KMHCT5AE9HU316914,2017
Mercedes-Benz,"33,847 Miles",C-Class,"$19,499",55SWF4JB0FU094776,2015
Ford,"32,098 Miles",Focus,"$14,645",1FADP3M26HL249638,2017
Hyundai,"26,461 Miles",Accent,"$12,200",KMHCT5AE7GU291767,2016
Dodge,"28,420 Miles",Journey,"$15,400",3C4PDCAB8HT559492,2017
Volkswagen,"41,907 Miles",Beetle,"$15,000",3VW5L7AT9EM822568,2014
Nissan,"31,779 Miles",Sentra,"$13,500",3N1AB7AP9GY326871,2016
MINI,"43,656 Miles",Cooper,"$14,499",WMWXU3C5XF2B62601,2015
Chevrolet,"35,988 Miles",Volt,"$20,200",1G1RC6S55HU100232,2017
Scion,"26,172 Miles",iM,"$14,500",JTNKARJE3GJ504076,2016
Chevrolet,"65,777 Miles",Silverado 1500,"$23,200",1GCRCREC6EZ176883,2014
Honda,"49,777 Miles",Accord,"$17,680",1HGCR2F59GA053027,2016
Chevrolet,"23,597 Miles",Camaro,"$23,900",2G1FK3DJXB9211006,2011
Kia,"29,288 Miles",Optima,"$21,700",5XXGW4L27GG015976,2016
Ford,"42,727 Miles",F-150,"$25,999",1FTEW1EP9GFA53240,2016
MINI,"26,457 Miles",Cooper,"$24,795",WMWXU3C52J2F50494,2018
Ford,"30,549 Miles",Escape,"$15,800",1FMCU0G98GUC37081,2016
Honda,"17,453 Miles",Civic,"$22,400",2HGFC3B98HH357594,2017
Nissan,"35,503 Miles",Altima,"$17,600",1N4BL3AP5HC171453,2017
Ford,"31,650 Miles",Escape,"$16,999",1FMCU0JXXGUB03860,2016
Ram,"22,086 Miles",Pickup 1500,"$25,300",1C6RR7FGXFS760712,2015
Volkswagen,"29,976 Miles",Beetle,"$16,100",3VW5L7ATXDM812548,2013
Nissan,"40,710 Miles",Pathfinder,"$25,000",5N1AR2MM8FC718319,2015
Chevrolet,"38,488 Miles",Impala,"$16,900",1G1105S39HU183257,2017
Mazda,"140,329 Miles",CX-7,"$5,585",JM3ER293780182271,2008
Mercedes-Benz,"44,185 Miles",M-Class,"$37,999",4JGDA7EB8EA309004,2014
Lexus,"41,754 Miles",RX 350,"$26,230",2T2BK1BA1EC244649,2014
Kia,"45,979 Miles",Sportage,"$15,100",KNDPM3ACXH7215501,2017
Audi,"24,014 Miles",A3,"$22,200",WAUB8GFF9G1096587,2016
Ford,"50,361 Miles",Focus,"$12,700",1FADP3H26HL287378,2017
GMC,"9,938 Miles",Acadia,"$30,580",1GKKNMLS7HZ291168,2017
Ford,"48,046 Miles",Expedition,"$24,945",1FMJU1HT6HEA55558,2017
Chevrolet,"35,379 Miles",Corvette,"$37,855",1G1YB2D76E5125846,2014
Lincoln,"44,686 Miles",MKC,"$23,900",5LMCJ3D96GUJ15704,2016
Volvo,"11,419 Miles",XC90,"$58,580",YV4A22PLXJ1219129,2018
Ford,"18,101 Miles",Edge,"$22,600",2FMPK4J99GBB69905,2016
Subaru,"25,568 Miles",Forester,"$25,980",JF2SJGEC6HH539223,2017
Infiniti,"13,222 Miles",Q50,"$35,800",JN1FV7AP4HM850754,2017
Jeep,"41,402 Miles",Patriot,"$17,000",1C4NJRFB8GD672004,2016
Nissan,"27,248 Miles",Altima,"$13,200",1N4AL3AP0FC414112,2015
Ford,"117,925 Miles",Focus,"$6,255",1FAHP3K28CL233082,2012
Toyota,"22,242 Miles",Tundra,"$40,200",5TFHW5F18HX636084,2017
Dodge,"25,323 Miles",Grand Caravan,"$20,780",2C4RDGCG7JR206744,2018
Ford,"34,105 Miles",Expedition EL,"$38,480",1FMJK1LT5FEF36170,2015
Infiniti,"55,000 Miles",Q50,"$19,500",JN1BV7AP7FM337882,2015
Toyota,"28,835 Miles",Corolla,"$14,800",2T1BPRHE7GC506868,2016
Nissan,"50,315 Miles",Altima,"$14,000",1N4AL3AP8GC256488,2016
Chevrolet,"44,379 Miles",Camaro,"$22,500",1G1FB3DS9H0202700,2017
Toyota,"19,445 Miles",Tundra,"$37,830",5TFDY5F16HX595155,2017
Ford,"42,291 Miles",Fusion Hybrid,"$14,700",3FA6P0LU8HR314372,2017
Buick,"14,719 Miles",Encore,"$18,100",KL4CJASB3HB078040,2017
GMC,"22,392 Miles",Terrain,"$17,500",2GKALMEK3H6246741,2017
Jeep,"20,335 Miles",Wrangler Unlimited,"$29,880",1C4BJWEG7FL594740,2015
Nissan,"29,775 Miles",Maxima,"$23,380",1N4AA6AP0HC452059,2017
Buick,"62,805 Miles",LaCrosse,"$12,400",1G4GA5ER6DF320891,2013
Toyota,"35,051 Miles",RAV4,"$18,800",JTMRFREV1FD148643,2015
Acura,"33,641 Miles",TLX,"$16,999",19UUB1F34GA005324,2016
Ford,"36,664 Miles",Focus,"$13,495",1FADP3H22HL249176,2017
Toyota,"48,848 Miles",Corolla,"$13,395",5YFBURHE8HP569858,2017
Chevrolet,"42,928 Miles",Equinox,"$18,100",2GNFLFEK9H6345861,2017
Chevrolet,"45,731 Miles",Cruze,"$15,000",1G1BF5SMXH7190888,2017
Ford,"31,195 Miles",Edge,"$20,999",2FMPK4J82HBC04227,2017
Nissan,"73,809 Miles",LEAF,"$12,200",1N4AZ0CP7FC315202,2015
Nissan,"15,463 Miles",Maxima,"$23,665",1N4AA6APXHC444826,2017
Nissan,"26,275 Miles",Rogue,"$16,200",KNMAT2MV1FP571591,2015
Dodge,"45,610 Miles",Grand Caravan,"$16,200",2C4RDGCG0HR611774,2017
Nissan,"9,695 Miles",Rogue Sport,"$16,999",JN1BJ1CP7JW159054,2018
Toyota,"10,872 Miles",RAV4,"$17,999",2T3WFREV5GW292025,2016
Ford,"27,763 Miles",F-150,"$22,999",1FTEW1CG9GKD80280,2016
Mercedes-Benz,"39,688 Miles",GLA,"$22,999",WDCTG4EBXHJ341531,2017
Dodge,"46,565 Miles",Charger,"$19,400",2C3CDXHG6HH551394,2017
Ford,"7,605 Miles",Fiesta,"$10,999",3FADP4EJ0JM107009,2018
Ford,"27,554 Miles",Focus,"$12,000",1FADP3F27GL206776,2016
Mercedes-Benz,"46,899 Miles",E-Class,"$23,999",WDDHF5KB2GB261454,2016
Chevrolet,"36,921 Miles",Impala,"$16,500",2G1105SA7H9165285,2017
BMW,"32,345 Miles",4 Series,"$24,999",WBA3V5C59F5A79294,2015
Ford,"47,827 Miles",Edge,"$18,500",2FMPK3J91HBB57422,2017
Mercedes-Benz,"27,945 Miles",CLA,"$21,999",WDDSJ4GB6GN385863,2016
Dodge,"16,239 Miles",Journey,"$13,999",3C4PDCAB7JT228179,2018
Ford,"32,260 Miles",Edge,"$24,300",2FMPK3AP7FBB11475,2015
Ford,"55,614 Miles",Explorer,"$28,600",1FM5K8GT9GGB14882,2016
Chevrolet,"14,227 Miles",Corvette,"$46,980",1G1YM2D74F5103310,2015
Lincoln,"36,328 Miles",MKX,"$17,999",2LMDJ8JK6FBL28205,2015
Chevrolet,"24,558 Miles",Equinox,"$16,600",2GNFLEEK2G6216370,2016
Ram,"35,105 Miles",Pickup 1500,"$22,600",1C6RR6GG0HS786182,2017
Toyota,"13,752 Miles",RAV4,"$23,200",2T3RFREV7HW559292,2017
Ford,"10,153 Miles",Edge,"$21,500",2FMPK3J84GBC40283,2016
Kia,"29,383 Miles",Forte,"$13,000",3KPFL4A70HE089897,2017
Hyundai,"19,850 Miles",Sonata,"$18,900",5NPE34AB6FH204348,2015
Mercedes-Benz,"13,344 Miles",S-Class,"$59,999",WDDUG8CB0GA227885,2016
Jeep,"23,323 Miles",Grand Cherokee,"$26,000",1C4RJEBG7FC693877,2015
Acura,"23,584 Miles",RDX,"$26,200",5J8TB3H39GL011869,2016
Ford,"51,908 Miles",Mustang,"$18,800",1FATP8UH1H5307446,2017
Hyundai,"44,538 Miles",Sonata,"$12,880",5NPE24AF3HH530374,2017
Chevrolet,"24,559 Miles",Silverado 1500,"$30,200",1GCVKREC1GZ205193,2016
Ford,"12,535 Miles",Escape,"$17,000",1FMCU0G70GUA90012,2016
Chevrolet,"42,745 Miles",Equinox,"$15,299",2GNFLFEK4G6156078,2016
Ford,"45,238 Miles",Fusion,"$12,999",3FA6P0H75HR358722,2017
Ford,"24,336 Miles",Mustang,"$21,500",1FA6P8TH2F5336269,2015
Toyota,"45,824 Miles",RAV4,"$14,999",JTMBFREV7FJ032222,2015
Honda,"9,798 Miles",Civic,"$22,605",19XFC1F7XHE014552,2017
Kia,722 Miles,Forte,"$14,500",3KPFK4A74HE055285,2017
Jeep,"12,390 Miles",Wrangler Unlimited,"$33,480",1C4BJWEG2GL341620,2016
Mercedes-Benz,"165,824 Miles",M-Class,"$6,985",4JGBB86E38A411155,2008
Honda,"24,660 Miles",Civic,"$18,600",19XFC2F78GE054004,2016
Ford,"26,660 Miles",Mustang,"$27,730",1FA6P8CF9G5245953,2016
Lexus,"20,730 Miles",ES 350,"$22,999",JTHBK1GG0G2230355,2016
Nissan,"39,617 Miles",Altima,"$17,900",1N4BL3AP9HC138472,2017
BMW,"18,158 Miles",5 Series,"$39,780",WBAJA5C31HG456299,2017
Nissan,"48,343 Miles",Altima,"$15,300",1N4AL3AP9HC207060,2017
Ford,"46,115 Miles",Explorer,"$24,855",1FM5K7F83HGC37599,2017
Ford,"45,014 Miles",F-150,"$31,480",1FTEW1EF2HKC22014,2017
Honda,"39,956 Miles",CR-V,"$15,630",JHLRM3H74CC003682,2012
Ford,"274,851 Miles",Expedition EL,"$9,995",1FMJK2A55CEF58496,2012
Chevrolet,"28,613 Miles",Cruze,"$14,600",1G1BE5SM6H7159611,2017
Chevrolet,"50,112 Miles",Express Passenger,"$20,780",1GAZGPFG3G1218852,2016
Nissan,"39,571 Miles",Rogue,"$19,500",5N1AT2MV1GC759578,2016
Nissan,"50,610 Miles",Pathfinder,"$20,700",5N1AR2MN5FC641028,2015
Toyota,"44,526 Miles",Corolla,"$14,200",2T1BURHE0EC050606,2014
GMC,"64,283 Miles",Terrain,"$16,200",2GKALSEK2F6246179,2015
Chevrolet,"21,880 Miles",Equinox,"$16,700",2GNALBEK8H1512601,2017
Kia,"45,874 Miles",Sedona,"$17,400",KNDMB5C14H6231344,2017
Volkswagen,"67,220 Miles",Jetta,"$11,900",3VWPL7AJ7DM621659,2013
Ford,"38,587 Miles",F-150,"$19,999",1FTEX1C82HFC30897,2017
Acura,"35,080 Miles",ILX,"$18,000",19UDE2F36GA021294,2016
Honda,"27,196 Miles",CR-V,"$19,500",5J6RM4H51FL089209,2015
Hyundai,"32,274 Miles",Sonata,"$13,499",5NPE34AF6GH306379,2016
Lexus,"36,654 Miles",NX 200t,"$29,755",JTJBARBZ3G2052448,2016
MINI,"29,756 Miles",Countryman,"$16,300",WMWZB3C54FWM32880,2015
Ford,"41,209 Miles",Mustang,"$19,200",1FATP8UH2H5254482,2017
Nissan,"4,875 Miles",Frontier,"$19,699",1N6AD0ER2JN726945,2018
Nissan,"47,148 Miles",Murano,"$22,400",5N1AZ2MH7FN286667,2015
Kia,"23,152 Miles",Sorento,"$20,200",5XYPGDA35HG262399,2017
Lexus,"49,550 Miles",ES 300h,"$23,799",JTHBW1GG0F2085546,2015
Jeep,"62,008 Miles",Wrangler Unlimited,"$23,800",1C4BJWDG6FL707952,2015
Acura,"36,030 Miles",ILX,"$15,999",19UDE2F7XGA014934,2016
Ford,"7,981 Miles",Fusion,"$17,300",3FA6P0H71GR262679,2016
Lexus,"39,282 Miles",RX 350,"$21,499",2T2BK1BA6FC295548,2015
Jeep,"31,696 Miles",Renegade,"$18,100",ZACCJABW2GPD21446,2016
Mercedes-Benz,"30,649 Miles",GLC,"$32,999",WDC0G4KB2HF213990,2017
Chevrolet,"22,478 Miles",Camaro,"$24,500",1G1FB3DS7J0155124,2018
BMW,"30,564 Miles",5 Series,"$29,900",WBA5A7C56GG146775,2016
Ford,"36,817 Miles",Escape,"$16,600",1FMCU9GXXGUB42427,2016
Hyundai,"45,065 Miles",Accent,"$9,175",KMHCT4AE4HU313512,2017
Volkswagen,"27,331 Miles",Jetta,"$15,800",3VWDB7AJ1HM396666,2017
Toyota,"31,226 Miles",Prius Plug-in Hybrid,"$20,300",JTDKN3DP8F3073305,2015
GMC,"29,969 Miles",Terrain,"$19,100",2GKALNEK8H6166664,2017
Toyota,"50,200 Miles",Corolla,"$14,400",5YFBURHE1HP618124,2017
Subaru,"24,996 Miles",WRX,"$23,800",JF1VA1B63H9829782,2017
Honda,"25,172 Miles",Accord,"$16,999",1HGCR2F85GA054864,2016
Cadillac,"31,087 Miles",CTS,"$22,999",1G6AX5SX1F0117492,2015
Land Rover,"26,087 Miles",Range Rover Sport,"$46,999",SALWG2KF1GA648477,2016
BMW,"58,898 Miles",X1,"$21,300",WBAVM5C58FVV95302,2015
Nissan,"28,035 Miles",Sentra,"$12,600",3N1AB7APXFY377777,2015
Toyota,"40,767 Miles",Corolla,"$13,100",5YFBURHE4GP529274,2016
Kia,"25,847 Miles",Cadenza,"$18,700",KNALN4D75F5171946,2015
Nissan,"20,385 Miles",Altima,"$13,499",1N4AL3APXFC152874,2015
Jeep,"35,182 Miles",Renegade,"$16,300",ZACCJABT8GPD88560,2016
Hyundai,"72,276 Miles",Sonata,"$14,300",5NPE34AF5FH057801,2015
Nissan,"21,951 Miles",Altima,"$17,400",1N4AL3AP6HC280743,2017
Honda,"19,584 Miles",CR-V,"$15,199",3CZRM3H30FG709943,2015
Dodge,"22,853 Miles",Durango,"$29,600",1C4RDJDG5FC784840,2015
Mitsubishi,"34,144 Miles",Outlander,"$16,555",JA4AD3A3XHZ044544,2017
Subaru,"30,939 Miles",Outback,"$26,900",4S4BSAKC2J3244521,2018
BMW,"29,395 Miles",7 Series,"$54,855",WBA7F2C50GG416127,2016
Toyota,"38,229 Miles",Camry,"$16,445",4T1BF1FK4FU078204,2015
Dodge,"41,729 Miles",Journey,"$17,800",3C4PDCGG9HT544082,2017
Nissan,"37,802 Miles",Versa,"$11,400",3N1CN7AP0HL839330,2017
Acura,"49,228 Miles",RDX,"$23,600",5J8TB3H32GL015049,2016
Nissan,"50,698 Miles",Pathfinder,"$20,300",5N1DR2MM9HC684262,2017
Ford,"45,145 Miles",Focus,"$10,655",1FADP3F26HL258675,2017
BMW,"16,163 Miles",3 Series,"$27,400",WBA8E3G53GNT75947,2016
BMW,"25,481 Miles",3 Series,"$22,999",WBA8B9C50HK675840,2017
Volkswagen,"43,366 Miles",Golf R,"$23,500",WVWPF7AJ8CW299168,2012
Ford,"70,348 Miles",Explorer,"$21,300",1FM5K7F89FGB82668,2015
Lincoln,"21,365 Miles",MKC,"$23,999",5LMCJ3D92GUJ00391,2016
Mercedes-Benz,"30,979 Miles",C-Class,"$20,600",55SWF4JB9FU088197,2015
Nissan,"31,534 Miles",Murano,"$19,600",5N1AZ2MH5GN128880,2016
Ford,"16,827 Miles",Expedition,"$53,700",1FMJU1KT6JEA24762,2018
Kia,"8,217 Miles",Forte,"$13,900",3KPFK4A70HE026866,2017
Dodge,"40,600 Miles",Grand Caravan,"$15,999",2C4RDGCG1HR589655,2017
Volkswagen,"70,108 Miles",CC,"$13,100",WVWRP7AN7DE561343,2013
Lexus,"33,288 Miles",IS 250,"$23,600",JTHCF1D21F5029014,2015
Mercedes-Benz,"23,252 Miles",C-Class,"$19,999",55SWF4JBXFU053040,2015
Jeep,"77,135 Miles",Cherokee,"$20,500",1C4PJMBS2FW576647,2015
Subaru,"31,611 Miles",Forester,"$21,200",JF2SJADC1GH517515,2016
Jaguar,"35,387 Miles",XJ,"$29,999",SAJWJ1CD2F8V82111,2015
Nissan,"16,132 Miles",JUKE,"$19,900",JN8AF5MV8GT650813,2016
Ford,"43,327 Miles",Explorer,"$24,000",1FM5K7D85HGC14778,2017
Lincoln,"32,198 Miles",MKT Town Car,"$20,999",2LMHJ5NK8HBL01410,2017
Dodge,"46,883 Miles",Grand Caravan,"$17,500",2C4RDGEG2HR791482,2017
BMW,"113,429 Miles",5 Series,"$14,755",WBAFU7C56DDU69460,2013
Lincoln,"37,514 Miles",MKZ Hybrid,"$24,300",3LN6L5KU6HR663952,2017
Ford,"19,973 Miles",Explorer,"$30,999",1FM5K8GT0GGA09082,2016
GMC,"36,013 Miles",Acadia,"$22,900",1GKKVPKD7FJ356004,2015
Dodge,"59,989 Miles",Challenger,"$18,000",2B3CJ5DT9AH160582,2010
Nissan,"32,630 Miles",Frontier,"$22,700",1N6AD0EV3HN762327,2017
Volkswagen,"29,014 Miles",Tiguan,"$14,999",WVGBV7AX5GW518803,2016
Subaru,"74,181 Miles",Outback,"$19,000",4S4BSBFC5G3241315,2016
Hyundai,"48,623 Miles",Accent,"$11,100",KMHCT4AE3HU273570,2017
MINI,"43,011 Miles",Cooper,"$13,000",WMWSU3C56DT371266,2013
Audi,"19,652 Miles",A4,"$28,400",WAUANAF43HN003802,2017
Nissan,"16,447 Miles",Maxima,"$18,699",1N4AA6AP1HC445735,2017
Volkswagen,"35,886 Miles",CC,"$14,200",WVWBP7AN6DE561965,2013
Ford,"29,308 Miles",Fusion,"$14,500",3FA6P0H73GR252980,2016
Jeep,"43,364 Miles",Grand Cherokee,"$26,000",1C4RJFBG1HC872019,2017
Ford,"37,325 Miles",Edge,"$19,900",2FMTK4J87FBC10360,2015
Chrysler,"37,741 Miles",300,"$20,400",2C3CCABG9HH662546,2017
Ford,"18,134 Miles",Mustang,"$24,380",1FATP8UH8J5139228,2018
Land Rover,"30,797 Miles",Range Rover Evoque,"$30,299",SALVP2BGXHH218010,2017
Toyota,"38,723 Miles",Tacoma,"$19,730",5TFTX4CN0DX033181,2013
Chevrolet,"33,378 Miles",Silverado 1500,"$28,100",3GCPCREC5EG310306,2014
Volkswagen,"40,855 Miles",Passat,"$15,800",1VWDT7A3XHC057369,2017
Ford,"33,105 Miles",Escape,"$15,000",1FMCU0F70GUA88035,2016
Kia,"51,125 Miles",Soul,"$11,230",KNDJN2A29G7840281,2016
Chevrolet,"49,393 Miles",Sonic,"$12,300",1G1JF5SB1H4140439,2017
BMW,"38,284 Miles",3 Series,"$15,999",WBA8E1G5XGNT35479,2016
Hyundai,"21,985 Miles",Santa Fe Sport,"$25,530",5XYZW4LA9HG457400,2017
Hyundai,"38,535 Miles",Genesis,"$20,999",KMHGN4JE0FU083444,2015
Toyota,"30,518 Miles",RAV4,"$21,300",2T3NFREVXGW264099,2016
Dodge,"50,744 Miles",Charger,"$21,200",2C3CDXJG3HH576585,2017
Hyundai,"32,316 Miles",Veloster,"$13,800",KMHTC6ADXHU305045,2017
Nissan,"40,187 Miles",Pathfinder,"$23,300",5N1DR2MN4HC653896,2017
Acura,"23,991 Miles",TLX,"$19,600",19UUB1F37FA029891,2015
Ford,"60,618 Miles",Fusion,"$13,900",3FA6P0K97DR133352,2013
Volkswagen,"34,629 Miles",Passat,"$16,300",1VWDT7A30HC056232,2017
FIAT,"19,523 Miles",500X,"$16,300",ZFBCFXAB2HP597792,2017
Nissan,"48,277 Miles",Quest,"$16,600",JN8AE2KP8H9167360,2017
Chevrolet,"17,295 Miles",Equinox,"$18,500",2GNFLEEK7H6180922,2017
Kia,"6,334 Miles",Cadenza,"$25,500",KNALC4J11H5080228,2017
Audi,"16,701 Miles",A4,"$25,600",WAUFFAFL5FN006577,2015
Land Rover,"41,613 Miles",Range Rover Evoque,"$24,999",SALVN2BG2FH065528,2015
Ford,"65,216 Miles",Expedition,"$28,500",1FMJU1KTXFEF23555,2015
Chrysler,"41,537 Miles",300,"$18,199",2C3CCABG7FH882684,2015
Ford,"40,972 Miles",Fusion Energi,"$17,500",3FA6P0SU3FR299892,2015
Nissan,"24,856 Miles",Altima,"$15,400",1N4AL3AP7FC478020,2015
Toyota,"10,379 Miles",Corolla,"$15,185",5YFBURHEXHP696255,2017
Chevrolet,"15,429 Miles",Equinox,"$20,999",2GNALDEK4H6109567,2017
Hyundai,"17,645 Miles",Sonata,"$14,100",5NPE24AF5FH259573,2015
Ford,"11,643 Miles",F-150,"$33,480",1FTEW1EP7HKD69308,2017
Lexus,"44,963 Miles",RX 350,"$33,580",2T2BZMCA3GC002749,2016
Toyota,"14,798 Miles",Avalon,"$19,999",4T1BK1EB0GU214018,2016
Jeep,"21,412 Miles",Renegade,"$16,100",ZACCJABT0FPB75276,2015
Volkswagen,"5,564 Miles",Tiguan,"$19,400",WVGAV7AX4HK054701,2017
Honda,"37,696 Miles",CR-V,"$15,999",2HKRM4H50FH704777,2015
MINI,"33,858 Miles",Cooper,"$14,985",WMWXS5C59FT837704,2015
Hyundai,"9,651 Miles",Elantra,"$20,100",KMHD04LB1JU520932,2018
Maserati,"48,158 Miles",Ghibli,"$29,655",ZAM57XSA7F1134535,2015
Lincoln,"43,333 Miles",MKC,"$18,499",5LMCJ1A91FUJ24463,2015
